#####SitedataenteredbyLizzie 2016,,,,,,,,,,,,,,,,,,,,
##GPS references in NZTM 2000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Line,Plot,Area,Date,People,Substrate,Cultural,East,North,Altitude,Aspect,Slope,Shape,Physiography,Time,Drainage,Species,Animal,Score,Pellets,Comments
Molesworth,9,Tennyson,24/01/16,"Sean, Emi",,Grazed,1580524,5326926,1100,230,3,Linear,Terrace,2,Poor,FESrub,cattle,H,Yes,Heavily grazed
Molesworth,9,,,,,,,,,,,,,,,POApra,cattle,H,Yes,
Molesworth,9,,,,,,,,,,,,,,,AGRcap,cattle,H,Yes,
Molesworth,9,,,,,,,,,,,,,,,TRIrep,cattle,H,Yes,
Molesworth,10,Serpentine,24/03/16,"Sean, Lizzie",Alluvail,,1581318,5329545,1158,130,3,Linear,Terrace,3,Medium,,,,,M10-a- Finish =1581278   -5329579
Molesworth,10,,,,,,,,,,,,,,,,,,,Behind cattle exclusion fence
Molesworth,11,Serpentine,14/01/16,"Sean, Lizzie, Emi",Alluvail,Grazed,1581957.50279655,5329242.23978003,1150,60,4,Linear,Terrace,2,Good,CHIrub,cattle,L,,Grazing of cattle at plot measurement
Molesworth,11,,,,,,,,,,,,,,,FESmat,cattle,M,Yes,
Molesworth,12,Lake Sedgemere,13/02/16,"Sean, Emi, Betka",Alluvail,Grazed,1593567,5334543,1005,330,2,Linear,Terrace,3,Poor,FESrub,cattle,L,Yes,End =1593610   -5334569
Molesworth,12,,,,,,,,,,,,,,,POApra,cattle,L,Yes,Cattle grazing over summer
Molesworth,12,,,,,,,,,,,,,,,AGRcap,cattle,L,Yes,
Molesworth,12,,,,,,,,,,,,,,,CARova,cattle,L,Yes,
Molesworth,12,,,,,,,,,,,,,,,HOLlan,cattle,L,Yes,
Molesworth,13,Lake Sedgemere,13/02/16,"Sean, Emi, Betka",Alluvail,,1593610,5334683,1005,45,1,Linear,Terrace,2.5,Poor,,,,,Behind fence
Molesworth,13,,,,,,,,,,,,,,,,,,,End =1593657   -5334665
Molesworth,14,Fish Lake,25/03/16,"Sean, Lizzie",Morraine,,1593542,5337097,1021,210,,Linear,Terrace,2.5,Good,,,,,Fenced from cattle
Molesworth,14,,,,,,,,,,,,,,,,,,,M14-A- End =1593552   -5337049
